version,date,change
5.95,2026-07-30,"Simulated fuel is now fully steerable: Delivered is a typed gallons cell on any day, Party moves beside Day type, People sits where Notes sits in reality. Fill drums retired."
5.96,2026-07-30,"Party distinction removed: every Burn day carries the full modeled day including the sound system. Sim inputs are now Day type, Delivered, People."
5.97,2026-07-30,"Hourly chart rebuilt clean: both axes locked to one 0 to 8 scale and the hidden axis stripped of labels, curing the sunken safe load line and the doubled y axis."
5.99,2026-07-30,"Setup rebuilt as a one screen control panel: orientation lines, nine dials, the machine math chain, and compact menu sources. Version history moved to this tab."
6.0,2026-07-30,Menu lists restored verbatim from the live sheet after the rebuild fabricated three of them. All charts rebuilt fresh; foreign chart XML is never round tripped again.
6.2,2026-07-30,"Banners rebuilt as simple movable chips, burn zone split left and right, charts range anchored so resizing sticks. Log tab restored after the export dropped it."
6.3,2026-07-31,"Control room redesign: ink masthead with docked selector and health tag, hero fuel cards with kickers and a refill stat card, opened ledger rhythm with a partition spine, outlined chart panels."
6.4,2026-07-31,"Two card dashboard: REALITY and SIMULATED as labeled vertical cards with larger gauges, mirrored data labels on both sides, and each burn chart filling its card. Hourly chart moved to Device Duty. Masthead removed."
6.5,2026-07-31,"Fuel on hand named on both cards with green orange red states on chip, bar, and number. Gauge scale widened to fill the card. Dashes unified. Health tag moved to the foot. Cards equalized. Charts rebuilt at card width."
6.6,2026-07-31,"Visual rebalance: chips grown to match the gauges, table rows tightened with calmer values, health footer made self contained so row surgery can never break it again, charts re anchored to the cards."
6.7,2026-07-31,Gauge numbers to one decimal. Next refill shows the countdown in days beside the date.
6.8,2026-07-31,"Gauges back to whole gallons with empty declared at one gallon or below, chips and colors aligned to the same floor. Next refill now looks strictly beyond the viewed day."
6.9,2026-07-31,Fuel EMPTY replaces OUT everywhere fuel speaks; overload verdicts renamed OVER so the two states can never be confused. Hourly chart rebuilt fresh on Device Duty.
7.0,2026-07-31,"Structural fix for chart breakage: the hidden second axis is gone from all three charts; the red line now rides the same axis as the bars, leaving nothing for the importer to unpin."
7.1,2026-07-31,"Contingency tab: a live affordability board answering what the camp can spend until an assumed fuel date, with delay and can levers, mode verdicts, the single generator fit line, and a derate trial."
7.2,2026-07-31,"POOLED ARCHITECTURE: generators paralleled into one 12.7 kW pool, the Never cut core moved to a battery, audits, chips, and charts re judged against pool and battery limits. REVERT POINT: v7.1 is the last split bus build; re import v7.1 to restore separate Bob and Alice buses."
7.3,2026-08-03,"Console: personal-items totals now computed at load (kitCalc after buildKit in boot and reset). Plan: every fuel delivery set to 88 gal."
7.4,2026-08-04,"Download button removed: plan edits go through GitHub directly (pencil edit or file upload). Console is for viewing and what-ifs."
7.5,2026-08-04,"Reset button icon changed to a clear refresh arrow. Hover labels: Reset values, Dark/light mode."
7.6,2026-08-04,"Draw calculator: totals columns aligned across both calculators. Default rows renamed to Kitchen, Sound, The Source. ACs row added (10 x 4.2 kWh/day). E-bikes plural, count 10."
7.7,2026-08-04,"Plan: Tuesday delivery 25 gal. One generator Tue-Fri of build week and for strike. Two generators Sat 8/29 through Sun 9/6."
7.8,2026-08-04,"Add item buttons wired up in both calculators: they were dropped in the v44 to repo rebuild. New rows start blank and focus the name field."
7.9,2026-08-04,"Tiny version number beside the title, read live from this log. Calculator seed fingerprints: saved rows are discarded automatically whenever the committed defaults change, so stale names can never linger again."
8.0,2026-08-07,"Draw calculator rows now take kWh-per-hour and an editable Hrs/day column (row = count x rate x hours); seeds keep the same daily totals, ACs seeded at 0.6 kWh x 7 h to match the console model. Energy breakdown labels renamed: Music to Sound, Shared now says The Source."
8.1,2026-08-07,"Energy breakdown regrouped and reordered: Critical, Sound, The Source (motor, DMX, projectors, computers), ACs, E-bikes, Personal items, Lights & misc. The Source split out of the shared bundle via new source_kwh_per_day setting - display-only decomposition, daily totals and fuel math unchanged."
8.2,2026-08-07,"Breakdown labels tightened: The Source stands alone, Personal items gets a (1 kWh/camper estimated) sub-line, Lights & misc renamed Camp lights & misc with a (fans, charging, coffee) sub-line. Sheddable camp lights stay out of Critical: Critical is the never-cut battery bus only."
8.3,2026-08-07,"Camp lights & misc moved above ACs in the breakdown; sub-rows get more vertical space (6px) and deeper indent (24px). Default build-week people updated in calendar_plan.csv: Wed 9, Thu 12, Fri 16, Sat 30. Press the reset button to load the new defaults over a saved local plan."
8.4,2026-08-07,"Phase 1 of device tinkering: daily energy now computed bottom-up from devices.csv x schedule.csv. Groups: Critical = battery bus at full run every day (freezers no longer scale down with headcount); Sound, The Source, Camp lights & misc ramp with occupancy; ACs and E-bikes per plan counts; Personal items unchanged. Energy total = sum of breakdown rows by construction. Full-camp days shift under 1 kWh; build and strike days rise because the core runs from day one. source_kwh_per_day setting no longer used."
8.5,2026-08-07,"Phase 2: new Devices panel - every row from devices.csv with editable qty, watts, and a tap-able 24-hour duty strip (fractions restore on re-tap). Edits are a browser whiteboard (localStorage, fingerprinted) that rewires the whole model live: energy rows, peak, charts, fuel. SIMULATED badge shows when device edits are active; reset button clears them. AC peak watts now follow the AC device row instead of the settings constant."
8.6,2026-08-07,"Devices panel v2: edits now scope to the selected day (pick a day, tinker, pick another day, tinker differently); per-day state drives energy, peak, and fuel for that day. Each tap on an hour steps duty 0 - 25 - 50 - 75 - 100 - 0. Custom rows via + Add item (land in Camp lights & misc, deletable); Apply-this-day-to-all button propagates a setup. Group headers enlarged. Badge counts simulated days. Reset clears all days."
8.7,2026-08-07,"Fix: Devices panel now follows the day you click in the calendar (day-header clicks set the day without firing input events, so the panel never switched). Panel day-sync moved into refresh so every selection path lands there. Devices header always shows which day it is editing."
8.8,2026-08-07,"Console gives no advice: cap flag now states peak vs limits only, all suggestion text removed. Thin vertical rule marks day-type changes (Build to Burn, Burn to Out) down every column. Devices Hrs readout shows exact quarter hours (7.25, not 7.3) - values were always exact, the display rounded to one decimal."
8.9,2026-08-07,"Day-type marker shrunk to a small tick on the Build/Burn/Out label row only (full-column rules removed). Devices Hrs column gets a fixed min-width and tabular numerals so quarter-hour values no longer reflow the table."
9.0,2026-08-07,"Devices Hrs column truly fixed-width: always two decimals (4.00 / 4.25) inside a hard 56px cell, so taps cannot reflow the table. Editing label now includes the weekday: editing Sunday 8/30 only."
9.1,2026-08-07,"Devices table gets two views over the same data: by category (model groups) or by camp area (Kitchen, Structure, Shade City, Events, Ebikes, Custom), toggled with a button and remembered per browser. Every group shows a subtotal row (kWh/day and gal/day) in both views. Display only - model and breakdown unchanged."
9.2,2026-08-07,"Devices panel layout: camp total and the view toggle move to the top; Add item and Apply-day stay at the bottom. Category / area groups are now collapsible (tap the header) and start collapsed to a subtotal overview; open groups are remembered per view. Build/Burn/Out tick reduced to a 1px hairline."
9.3,2026-08-07,"Devices panel polish: camp total is a bare number at the top; column header line sits directly above the device rows and only appears when a group is expanded; view button reads by Category / by Area; Build/Burn/Out tick is a short centered hairline that no longer touches neighbors, one shade darker."
9.4,2026-08-07,"ACs calendar cap raised 10 to 99 (input max and the forward-fill clamp) for unexpected AC arrivals. People and E-bike limits and all other calendar behavior unchanged; energy and peak scale linearly with the higher counts."
9.5,2026-08-07,"Draw calculator row renamed Kitchen to Critical - it was always the camp_base always-on core (freezers, DC fridges, pumps, perimeter lights), not the kitchen area; the Devices Kitchen-area subtotal additionally holds coffee and kitchen lighting, which the model books under Camp lights & misc. Values unchanged. Renaming the committed seed trips the calculator fingerprint, so saved draw-calculator rows reset to seeds on next load."
9.6,2026-08-07,"Camp draw calculator retired - the per-day Devices panel supersedes it. Its whole-event arithmetic ported into the Devices panel: every device row, group subtotal, and the camp total now show two small gray lines - whole event (x14 days) and from-the-selected-day-on kWh and gallons. data/draw_items.csv is no longer read and can be deleted from the repo or left in place."
9.7,2026-08-07,"Devices column-header line now always occupies its row; when every group is collapsed the text turns invisible instead of the row being removed, so opening or closing a group no longer shifts the rows below."
9.8,2026-08-07,"Devices column headers centered over their fields (Qty, Watts, Hrs cells centered to match; Device left, Full-run draw right). New Collapse all / Expand all button beside the View toggle; label reflects the action and per-group toggles still work."
9.9,2026-08-07,"AC count unified: the calendar ACs row and the Devices AC Qty are now one per-day value - edit either and both update, with energy, peak, and fuel following. Calendar remains the stored truth (calendar_plan.csv unchanged); forward-fill syncs too. Plan-driven qty no longer trips the SIMULATED badge. E-bike count stays calendar-only (the device row is one charging station serving the bikes); People, Gens, Delivered are not devices."
10.0,2026-08-07,"Scenarios: Save current state downloads a named JSON snapshot of the whole whiteboard (calendar, fuel, floor, all 14 days of devices) to share between leads; Load scenario imports one (baseline mismatch warns first) and shows a viewing banner; Apply current state to reality downloads repo-ready calendar_plan.csv, devices.csv, schedule.csv (from the selected day, per option a), and log.csv with an auto-bumped version row. Reset exits a scenario. Nothing writes to GitHub from the browser."
10.1,2026-08-08,"Apply dialog shortened to fit without scrolling and now names the Reset button (circular arrow, top right) instead of a glyph. Scenario saves get a per-browser six-digit download counter appended to the filename (name_000001.json) and embedded in the file, so repeat saves never collide in the Downloads folder. Repo files from Apply keep their exact committed names on purpose. The counter survives Reset."
10.2,2026-08-08,"Scenario save numbers are now globally ordered without a server: the six-digit id is minutes since Jan 1 2026 UTC, so a camp lead saving ten minutes after you gets a higher number from any browser or device, online or offline. Same-minute repeats on one browser get -2, -3 suffixes. A dense 1-2-3 shared sequence would require a writable server, which the static console deliberately does not have."
10.3,2026-08-08,"Scenario renamed to Simulation everywhere (panel, buttons, prompts, errors) - matches the SIMULATED badge language; file format unchanged so earlier saves still load. Save id widened to 10 digits of seconds since Jan 1 2026 UTC: future-proof past year 2300 and now second-resolution, so same-minute ties between people are gone. UTC stays on purpose - local-clock ids would break the later-save-higher-number guarantee across timezones and during DST changes. Apply dialog cut to six lines."
10.4,2026-08-08,"Browser This-page-says dialogs replaced by styled in-console dialogs (themed, never scroll, Escape or Enter work). Apply renamed Make this the official plan and its dialog now also counts device rows differing on the promoted day, so device-side edits are visibly registered. Save simulation requires a typed name (added to the filename). Save id is now a readable UTC stamp - name_20260808-161512Z.json - which sorts chronologically from any timezone; a dense 1-2-3 shared counter still needs a server the static console does not have."
10.5,2026-08-08,"Save simulation now asks for the person to enter their own name (remembered for next time) and builds the filename as name_cavepowersim_YYYY-MM-DD_HHMMSSZ.json - who first for who-thinks-what control, then the readable UTC date and time id. The name and an auto title (name plus timestamp) are embedded in the file and shown in the viewing banner and official-plan dialog."
10.6,2026-08-08,"Make this the official plan now downloads a single zip - cavepower_apply_YYYY-MM-DD_HHMMSSZ.zip - that unzips to a same-named folder holding the 4 repo files with their exact committed names, replacing four loose downloads. Zip is built in-page (store method, no dependencies, works offline). Save-name field placeholder simplified to your name."
10.7,2026-08-08,"Both charts collapse by clicking their status line (caret shows state, remembered per browser; the fuel-floor field stays put and does not toggle). E-bike count unified with the calendar like ACs: the seed normalizes the legacy one-station row to per-bike (10 x 144 W), the Devices Qty mirrors the calendar E-bikes count per day in both directions, the breakdown reads the device math directly, and count changes do not trip the SIMULATED badge. Seed energy identical (0.576 kWh x bikes)."
10.7,2026-08-08,"Both charts collapse by clicking their status line (caret shows state, remembered per browser; the fuel-floor field stays put and does not toggle). E-bike count unified with the calendar like ACs: the seed normalizes the legacy one-station row to per-bike (10 x 144 W), the Devices Qty mirrors the calendar E-bikes count per day in both directions, the breakdown reads the device math directly, and count changes do not trip the SIMULATED badge. Seed energy identical (0.576 kWh x bikes)."
10.8,2026-08-08,"Chart status lines left-aligned (fuel-floor field stays pinned right) and both charts start collapsed like every other panel; open state remembered per browser under a fresh key."
10.9,2026-08-08,"Fix: changing ACs or E-bikes on the calendar now repaints the Devices panel numbers (per-row draw, subtotals, camp total, whole-event and from-day lines) - the count synced but the readouts were not being redrawn. Swept every edit path for the same class of gap: device edits, day clicks, simulation load, copy-to-all, reset, and floor changes all repaint correctly."
11.0,2026-08-08,"Uniform panel chrome: the calendar and both charts are now the same details dropdown as Devices, Personal items, and Simulations - identical header height, identical caret, one style path. Calendar defaults open (it is the day selector everything keys off), charts default collapsed, all states remembered. The fuel-floor field lives in the fuel header and no longer toggles the panel when clicked."
11.1,2026-08-08,"Calendar visual regression fixed: the calculator-table styles (qn) were bleeding onto the plan table after the dropdown conversion, and the double panel chrome stole width - calendar is back to full width with no sideways scroll, chips and inputs restored. All dropdown headers share the fuel rows 36px height. Page background now covers the viewport in both themes (no black band under short pages). Collapsed Calendar header shows the selected day, e.g. Calendar - Friday 8/28 selected."
11.2,2026-08-08,"Panel order: Devices moved above the Power and Fuel charts - edit inputs first, read consequences below (calendar keeps the numeric bands either way). Even 9px gap between the caret and every dropdown title in both states. Devices panel title shortened to Devices. Simulations note rewritten per lead wording: snapshot of the console, share-and-load collaboration, official-plan zip to git, Reset returns to committed."
11.3,2026-08-08,"Notes panel added between Personal items and Simulations: a live pad for thoughts and questions while working a state. Notes persist locally, travel inside every saved simulation (loading someone else\x27s sim fills your pad and shows a has-notes cue), are cleared by Reset like all whiteboard state, and when present ride along as notes.txt inside the official-plan zip for the archive. Personal items and Simulations stay below the graphs: edit surfaces up top, reading below, annotation and sharing at the end."
11.4,2026-08-08,"Notes text now inherits the theme text color (the old rule pointed at a background variable, turning light mode white-on-white). Scrollbar gutter reserved on the page root, so expanding or collapsing panels no longer shifts the console horizontally."
11.5,2026-08-08,"Light mode: the reserved scrollbar gutter no longer shows as a dark stripe when every panel is collapsed - the theme class now lands on the page root too, and the root background follows it."
11.6,2026-08-08,"Notes placeholder reworded: notes, questions, ideas are saved along with your simulation."
11.6,2026-08-08,"Notes box placeholder removed; caption now reads: Saved into every simulation file so others can read and address them; cleared by Reset button (top right)."
11.7,2026-08-08,"Personal items calculator now drives the plan: the calendar Personal-items line charges Total-per-camper x that day\x27s People (was a flat 1 kWh estimate), with the live per-camper figure shown in the row label. Kit edits ripple through energy, fuel, and the whole-event bar instantly; the kit travels inside simulations, is promoted into personal_items.csv by Make this the official plan, and Reset returns it to committed. Committed plan effect: per-camper drops to the seeded 0.38 kWh, easing the whole-event fuel deficit."
11.8,2026-08-08,"Fuel delivery time toggle (AM/PM) in the fuel header, remembered per browser. AM (default) credits deliveries at dawn, as before. PM runs the morning on yesterday\x27s remainder, credits the delivery mid-day, and the chart and lowest-point flag now show the pre-delivery dip - end-of-day levels are identical in both modes. New calendar row Start of day - gal above Fuel spent shows the tank at dawn under the chosen mode. Day-one fuel is treated as arriving with camp in both modes."
11.9,2026-08-08,"Calendar derived band regrouped: Delivered - gal moved out of the top inputs and into the fuel block, which now reads Delivered, Start of day, Fuel spent, Fuel left in narrative order, separated from Peak kW and Energy by a divider line. The delivery cells stay editable exactly as before."
12.0,2026-08-08,"Fuel left shown to one decimal. The divider line between the power rows and the fuel block replaced by clean whitespace (a transparent spacer row)."
12.1,2026-08-08,"Split-generator mode: a POOLED / SPLIT A-B toggle in the Power header (remembered per browser). Split checks each engine against its own 6.3 kW safe / 7.9 absolute on 2-generator days: Gen A carries essentials (critical, sound, Source, lights and misc, camper loads), Gen B carries comforts (ACs, fans, e-bike charging), auto-assigned by device with a clickable A/B tag on every Devices row to override - assignments apply to all days, ride in simulations, and promote into devices.csv as a gen column. One-generator days behave as before in either mode. Pooled numbers are unchanged; fuel is identical in both modes by design (v1)."
12.2,2026-08-08,"Three changes. A/B assignment is its own button column left of Qty (headers and subtotals realigned). Split chart recolored: Gen A pink, Gen B blue, and every bar keeps its color up to the safe line, turns orange only for the portion between safe and absolute, red above absolute (pooled chart same treatment). New read-only Personal items row in Devices, in both views: qty mirrors that day\x27s People, watts shows the per-camper peak, the hour strip is drawn from the calculator\x27s combined hourly wattage (opacity = share of peak - the answer to mixed device hours), and the draw equals per-camper total x People, included in the camp total. The hourly camper curve that feeds the Power chart now also comes from the calculator instead of fixed settings."
12.3,2026-08-08,"Generator roles swapped to the requested orientation: Gen B (blue) is the default essentials engine, Gen A (pink, alice) carries the comforts - auto-assignment, curves, tags, camper loads, and the promoted gen column all follow; sims saved before this version should be re-saved or Reset. A/B buttons sized like the calendar Gens chips. Absolute-limit line was being stacked on top of the safe line by the new stacked bars and pushed off-scale - lines now opt out, both visible again. Personal items row clarified: watts shows one camper\x27s peak with an explainer subline and hover text for the shaded hours. Calendar date header now sticks to the top while scrolling the page."
12.4,2026-08-08,"Generators renamed to 1 and 2: Gen 1 blue (essentials by default), Gen 2 pink (comforts by default); legacy A/B in stored state and sims migrates automatically, and the promoted gen column now writes 1/2. Pooled bars use a blue-pink striped pattern to read as both engines together. Chart hover fixed: internal orange/red segments no longer appear as _w/_o lines - the tooltip shows the true hourly total per series. The Personal items row got a camper-loads generator button (travels in sims, Reset returns it to Gen 1) and a fuel-first readout: per-camper kWh/day in place of peak watts, shading = when campers draw. The sticky date row only lived as long as the calendar table, so a floating day pill now appears top-center whenever you scroll past the calendar, always showing the selected day."
12.5,2026-08-08,"Day pill text now inherits the theme color (was near-white in light mode) and the in-table sticky date row is removed - the pill covers day context everywhere. Devices camp-total block realigned right (the totals row was still built for the pre-gen-column width) and the Full-run draw header renamed Daily draw. First-column inputs get 2px of breathing room so the New item box is not clipped."
12.6,2026-08-08,"GENS control now cycles four lenses: POOLED, SPLIT 1-2, GEN 1 ONLY, GEN 2 ONLY. The solo views answer the contingency question what if only that engine runs, on any day including build days: the chart and calendar chips show that engine\x27s tagged loads (camper loads follow their assignment) against the single-generator 6.3 safe / 7.9 absolute, with the other bus dark. Power lens only - energy and fuel stay at plan values in v1."
12.7,2026-08-08,"Devices header gains a Gen column label and drops the Daily draw text (the numbers speak for themselves). The GENS lens is a styled dropdown with all four options visible instead of a click-cycle. Personal items row: the campers count is now an editable Qty wired both ways to the calendar People row (edit either), and its hour strip is plain on/off blocks - an hour is lit if any camper item draws then - replacing the confusing intensity shading."
12.8,2026-08-08,"Personal items calculator folded into the Devices panel - the standalone dropdown is gone. The Personal items group (Camp-wide in Area view) now holds the aggregate row (campers Qty synced with the calendar, kWh per camper, camper-loads Gen button, combined on-off strip, group draw) plus one editable row per item: name, watts, tap-to-toggle hour blocks (binary, not duty), per-camper draw, delete, and an Add personal item button. Items apply to every day; the row subline says so. All plumbing unchanged: kit persists locally, rides in simulations, promotes to personal_items.csv, Reset returns to committed."
12.9,2026-08-08,"Each personal item now carries the same whole-event and from-day lines as every device row, computed at camp scale (per-camper draw x that day\x27s campers), so item lines sum to the group subtotal; the headline stays per-camper since that is the unit being edited."
13.0,2026-08-08,"Personal item rows now lead with the same camp-scale headline as every device (X kWh/day - Y gal/day), with the per-camper figure on its own short subline - this also removes the overlong first line that was forcing a sideways scroll on the Devices table."
13.1,2026-08-08,"The split lens is renamed BOTH GEN in the dropdown and the Power flag reads both gen. Header layout hardened so long flag text can no longer run into the GENS or Delivery controls - the text column shrinks and wraps in its own space with a fixed gap."
13.2,2026-08-08,"GENS and Delivery header controls pinned to an exact 28px height so a two-line flag can no longer make them render a hair taller."
13.3,2026-08-08,"Camp lights & misc subtotal label shortened to Lights & misc subtotal so it stays on one line when wide groups are expanded; the group header keeps its full name."
13.4,2026-08-08,"Devices name column pinned to a fixed 196px so expanding any group (notably Personal items with its explainer subline) no longer nudges every other column a few pixels rightward."
13.5,2026-08-08,"Two stability fixes: the per-camper subline on item rows trimmed by one character so the expanded Personal items group no longer nudges the Devices table into a sideways scrollbar, and scroll anchoring disabled on the Devices panel so expanding or collapsing a group can no longer make the page jump - the view now stays put while clicking around."
13.6,2026-08-08,"Devices lane widened by eight imperceptible pixels (name column 196 to 192, panel right padding 14 to 10) so the expanded Personal items group sits inside the container with margin and the sideways scrollbar is gone."
13.7,2026-08-08,"Devices Qty and Watts inputs slimmed from 84px boxes to 66px (they hold at most four digits), reclaiming 36px across the table - the sideways scrollbar under the expanded Personal items group is gone with real margin this time. The GENS control is now a custom dropdown that always opens downward: same look with the caret, current lens highlighted, closes on outside click or Escape; the native select popup that flipped upward near the bottom of the window is retired."
13.8,2026-08-08,"The blue-pink pooled stripes now appear only on days that actually run two generators. One-generator days draw a solid single-engine bar labeled Camp load - 1 generator in every lens, and the BOTH GEN lens adds single generator today to the flag on those days so the fallback is explicit."
13.9,2026-08-08,"Devices note cut to two clauses: tap steps duty by 25 percent, reset button restores the latest commit. Qty inputs narrowed to 40px (two digits max), Watts widened to 58px (fits four digits), both at the Gen tag\x27s 12px font, and the number-spinner arrows that were eating into the digits are removed - net table width unchanged. In the by-Area view the personal group now sits directly after Shade City (where the tents are) under the name Personal items instead of a separate Camp-wide section at the bottom."
14.0,2026-08-08,"Devices whole-event and from-day lines are now day-exact: each row sums its own per-day quantity, watts, and duty across the calendar (so AC totals follow the per-day AC counts, personal totals follow each day\x27s People, and any per-day duty edits are respected) instead of assuming today held for 14 days. Subtotals, the Personal group, and the camp total sum the same way. Both lines are labeled gal total for clarity. Constant loads like freezers are unchanged."
14.1,2026-08-08,"Calendar Personal-items sub-label now says from Devices table (the standalone calculator is long gone). Camper loads default to Generator 2 (comforts) in fresh browsers, on Reset, and for older sims without a stored choice. The Personal-items explainer subline in Devices removed. The E-bike charging row gains a small subline - watts per bike, Qty = the calendar\x27s E-bikes - since 144 W is the per-bike figure after the v9.6 normalization of the legacy 1x1440 W row."
14.2,2026-08-08,"On one-generator days the Devices Gen tags and the camper-loads button render muted with an explanatory tooltip - the assignments are inert that day (everything runs on the one engine) but remain clickable as the wiring plan for two-generator days."
14.2,2026-08-08,"On days the calendar runs one generator, every Gen tag renders as a dimmed 1 - one engine means one bus - and tag clicks are inert, with hover text explaining. The stored wiring is untouched: toggle the day back to two generators and the real assignments reappear. Toggling Gens in the calendar repaints the Devices panel immediately."
14.3,2026-08-08,"BOTH GEN greys out in the lens menu (with a needs-2-gens hint) whenever the selected day runs one generator - it stays selectable on 2-generator days, and a lens chosen elsewhere still falls back gracefully. Solo-lens wording now says other generator off instead of engine, and the dimmed-tag hover matches."
14.4,2026-08-08,"Mid-event rewiring for contingency planning: shift-click any Gen tag to move that device from the selected day forward only (plain click still rewires every day); the tag shows the selected day\x27s assignment and divergence flags SIMULATED as usual. Solo lenses on one-generator days now say its wired loads only, clarifying that they exclude the other bus - use POOLED on a 1-gen day to see everything replugged onto the surviving generator."
14.5,2026-08-08,"On days the calendar runs one generator, the solo lenses now show the crisis view: every camp load on that single generator, bars overflowing orange and red past the 6.3 and 7.9 lines so you can see how far over you are and start disconnecting - the flag reads every load on the one generator. On 2-generator days the solo lenses keep their engine-down meaning (only the loads wired to that generator) and the confusing its-wired-loads-only clause is gone."
14.6,2026-08-08,"New calendar fuel row Per generator - gal: that day\x27s Fuel spent divided by its generator count, the number each engine drinks and the basis for daily refueling runs. Assumes pooled engines share load evenly; on one-generator days it equals Fuel spent. No change to the fuel chart - per-engine curves would just be the camp line halved."
